"CycID","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"Atp2a2","1","1","20","4","0.0784478995857207","5.66751248469227","0.0235866971863781","0.00416173713778044"
"Ik","1","1","20","8","0.0415275660799428","6.54461327829285","0.0227730931905447","0.00347966980204597"
"Supt5h","1","1","20","16","0.081100418283962","5.44984368611213","0.125168900480448","0.0229674294694757"
"Gtpbp4","1","1","20","10","0.0823519889150847","7.18596858356402","0.0308954787173","0.00429941744916129"
"Hnrnpu","1","1","20","16","0.0971246439836173","8.81801489254291","0.305133048180302","0.034603371835802"
"Prpf40a","0.611111111111111","1","24","18","0.220228597420489","7.46442357275365","0.0753633025669711","0.0100963325342441"
"Ddx46","1","1","24","18","0.166282433794996","5.52263899490711","0.114015412882963","0.020645096119465"
"Tfip11","1","1","20","14","0.0929701247186124","5.90657256678276","0.0429648331955987","0.00727407184281851"
"Wdr75","0.183333333333333","0.839847417840376","20","18","0.264868243489005","6.15883272986799","0.224708895929684","0.0364856306033336"
"Xab2","1","1","20","14","0.263006144240443","5.65516724234627","0.116980952318065","0.0206856751188726"
"Rbm15","1","1","20","8","0.0846206876615701","5.7378212651388","0.0402727421914402","0.00701882131395845"
"Ctr9","1","1","20","0","0.179703389360081","4.44618205711688","0.141877198797334","0.0319098941462002"
"Tmpo","1","1","20","16","0.243811108408417","4.57577376290815","0.212645241115071","0.0464719743879827"
"Zc3h18","1","1","20","2","0.122234498024602","5.39904797763829","0.100044013580442","0.0185299360173872"
"Brd4","0.183333333333333","0.839847417840376","24","6","0.183161554403891","3.94921321125269","0.0907396458993825","0.0229766389013471"
"Exosc10","1","1","20","4","0.112889818070109","5.20196684168355","0.116524576726549","0.0224000998608513"
"Mtrex","1","1","20","4","0.146272891762678","5.99925760878851","0.107322267513249","0.0178892580568684"
"Thoc5","0.611111111111111","1","24","18","0.165168406146735","5.82123022007741","0.270092883810589","0.0463979044977535"
"Ncor2","0.0305555555555556","0.606912637828668","20","18","1.22346469304667","1.74822522200627","1.07859407297531","0.616965170962075"
"Nup160","1","1","20","10","0.0830673759327292","7.65039571645489","0.0505018377601739","0.00660120595481771"
"Ints6","0.183333333333333","0.839847417840376","20","16","0.18443774326621","4.43892999948192","0.153284426720466","0.0345318413983452"
"Ncor1","0.611111111111111","1","20","18","0.950451470189246","2.10904530785699","0.983385637823477","0.466270513089497"
"Polr1a","0.183333333333333","0.839847417840376","20","16","0.45927350232105","4.07332813782477","0.411344222753124","0.100984798875739"
"Prpf3","1","1","20","8","0.0807082986801031","6.86701053098377","0.0281284949075","0.00409617762788989"
"Fbl","1","1","24","18","0.126000664052102","8.71519507303371","0.120629917963669","0.013841333091547"
"Rbmxl1","0.611111111111111","1","24","20","0.198857517508446","5.78116836900439","0.311747736427713","0.0539246942018057"
"Macf1","1","1","24","18","0.532542250366443","0.674709664594043","0.0785045388407736","0.0785045388407736"
"Znf326","1","1","20","16","0.121851363069298","6.31620364325512","0.135432301004726","0.021442041557566"
"Prox1","0.0305555555555556","0.606912637828668","20","18","0.490530794259577","4.98920816430991","0.530124480043984","0.106254231650667"
"Stag2","1","1","24","6","0.181056902417471","3.92013789533696","0.0145112453961692","0.00370171809859812"
"Gpatch8","0.611111111111111","1","24","20","0.0992010780925099","3.20829002019978","0.0666367200846366","0.0207701671809855"
