,CT0,CT4,CT8,CT12,CT16,CT20
Ncoa5,7.01996864595778,7.05132583702932,7.278405826363,7.4954704386012,7.47951379731395,7.42213338170069
Ddx24,5.74619747695955,5.06751201312822,5.31503353185539,5.58682821382092,5.78614733150938,5.60753357015706
Mta2,5.81011460541356,5.42417802590644,5.39514644511921,5.50392066938688,5.40065160766337,5.26198274490593
Ylpm1,5.08383395112157,5.2244635101118,5.08972769175814,5.40939249851559,5.15436272553295,5.47367731423046
Ckap5,3.60617898852533,3.23977184419087,3.30304128518695,3.49574035019188,3.30013689845443,2.62226964723519
Dkc1,7.94109649280967,7.75445843436394,7.92063086295799,8.0036102710209,7.87824590016495,7.94094700361889
Hnrnpa1,5.29058036059389,5.34462941315714,4.13824893323424,4.89597748208908,4.87619542523705,4.56306195585882
Gnl2,5.15534126284105,4.39428565156984,4.68442683495324,4.89137698504676,5.49226282174023,5.19397593249132
Hira,4.1235910445085,3.80448701724062,3.55248642281206,3.84039213984412,4.1868017050494,3.53261356928498
Cdk13,2.84464945039075,3.29323989720858,3.11732342056549,3.04782613814627,2.72894417028457,2.8619791679682
Por,6.49525865203913,6.5821099218569,6.68524289487714,6.57618995961817,6.76126479564749,6.65485516558149
Usp36,4.18798572092822,3.91181470620735,4.09279249850714,3.94051031777351,4.05216510601377,4.32447737770336
Esf1,4.3437628234,3.4572125043554,3.66470547749197,3.49250884296423,3.95907022721941,3.88242221976868
Actb,7.05336914678132,7.07470773019466,7.11896362452782,6.93733130284654,6.88863726185764,7.16104527903375
Pcf11,2.99817198293199,3.34819967867252,2.98681844032861,3.20234191381451,2.86475099424592,3.36474019574527
Zhx2,5.3518810085111,4.85344844915111,4.69506392995674,4.84832903976095,5.33024408584515,4.9469014023415
Sun1,4.66718193904367,4.70959232081389,5.18412143306555,4.65319141666753,4.86092514143039,4.59281764224938
Wapl,2.95616489836712,2.51823006328538,2.57272213034625,2.58802215435824,2.86679600483526,2.93685698025084
Nsd1,2.19661330698968,2.44437530859802,2.04291438467868,1.64043620749082,1.96159296256427,1.84243651898938
Wdr43,7.06768117195852,6.62265316801345,7.09135656577118,6.90988339225575,7.07336636668814,6.97009775654195
Hnrnpk,8.12357756800876,7.98478976060575,6.75933411304418,7.92622281791092,7.86529814870239,7.90115440550521
Atp13a1,4.45434990433717,4.42168021732857,4.65738891001093,4.82425240942111,4.65920424132819,4.58719768355576
Tmpo_1,6.93569639767228,6.858712857722,7.15135602842032,7.07388359217836,6.94754681106186,6.99952404105996
Vcl,3.11088256724629,3.18471831446603,2.90326518382169,2.74305255432383,2.60924157530655,3.27037662402087
Sin3a,4.34499943492925,4.14303675432664,3.92617762456251,4.08246894557975,4.06292913382614,4.06741027891456
Syncrip,6.21421814231048,6.35755247891754,4.85956811678252,5.71055744265699,6.02517736415436,5.69663397597045
Des,4.52797964861531,4.77957071645514,4.46108947574519,4.57379991841554,4.5737617456454,4.20543077833825
Wdr46,6.46400607786599,5.77934125303014,6.04849882363339,6.1091978981573,6.45002972996779,6.04768709281414
Chd7,1.35758213147437,0.458181821399368,-0.169817286979123,0.353192375515214,1.41148315008527,0.630423563065465
Cyp2c50,2.82717416880294,2.83166583381959,2.97990456323751,2.26856462782582,2.32288626320606,2.18399991429121
Cyp2f2,8.38001279428263,7.90399637156649,8.12851431775169,7.90068944997701,7.98528255304306,7.71065736719954
Pcbp1,6.890003964978,6.48815822395921,6.60912565896169,6.69377439633897,6.67236481654046,6.42179243682234
Hsp90b1,4.27337544526455,5.07051079684543,4.30257214327026,3.90223113658433,4.59717911958834,4.82111687161387
