BH.Q	ADJ.P	PER	LAG	AMP
Phlda1	0.0688814267015978	0.00172835079544638	20	18	0.946771564491319
Atp6v0d1	0.0688814267015978	0.00172835079544638	24	2	0.799406880590789
Nr3c2	0.0688814267015978	0.00172835079544638	20	16	0.734154744716738
Slc38a2	0.0688814267015978	0.00172835079544638	24	21	0.691274302380578
Vrk3	0.0688814267015978	0.00172835079544638	24	8	0.669799953515652
Tgfbr1	0.0688814267015978	0.00172835079544638	24	16	0.667622763513772
Aph1a	0.0688814267015978	0.00172835079544638	24	20	0.659378047428698
Zdhhc13	0.0688814267015978	0.00172835079544638	20	4	0.610141609398886
Smtn	0.0688814267015978	0.00172835079544638	20	16	0.601422799764047
Cpn1	0.0688814267015978	0.00172835079544638	24	6	0.529045591984731
Leng1	0.0688814267015978	0.00172835079544638	20	12	0.214524943455939
Myl4	0.0826590953448687	0.00255268389407045	20	4	1.49868763824533
Ddx20	0.0826590953448687	0.00255268389407045	20	18	1.34254963448898
Chmp2a	0.0826590953448687	0.00255268389407045	24	16	1.1905032237058
Gsto1	0.0826590953448687	0.00255268389407045	20	18	1.18281194800191
Derl2	0.0826590953448687	0.00255268389407045	24	14	1.13838277482359
Esr1	0.0826590953448687	0.00255268389407045	20	18	1.13730637712429
Ppp6r3	0.0826590953448687	0.00255268389407045	20	16	1.13098439642976
Cebpe	0.0826590953448687	0.00255268389407045	24	13	1.12861993783347
Gsta1	0.0826590953448687	0.00255268389407045	20	4	1.12319637477785
Tle5	0.0826590953448687	0.00255268389407045	20	18	1.11232535980151
Lrrc41	0.0826590953448687	0.00255268389407045	20	16	1.10658820511368
Ddx24	0.0826590953448687	0.00255268389407045	20	18	1.06626058669473
Naif1	0.0826590953448687	0.00255268389407045	24	2	0.985485676402477
Rrn3	0.0826590953448687	0.00255268389407045	20	0	0.964232604486698
Trim25	0.0826590953448687	0.00255268389407045	20	16	0.962004616169319
Kifc3	0.0826590953448687	0.00255268389407045	20	18	0.908973675989559
Pigp	0.0826590953448687	0.00255268389407045	24	20	0.889386286572467
Rnaset2a	0.0826590953448687	0.00255268389407045	24	4	0.888398603579285
Bag6	0.0826590953448687	0.00255268389407045	24	20	0.848896557809144
Hmg20b	0.0826590953448687	0.00255268389407045	20	18	0.83133324380088
Sumo2	0.0826590953448687	0.00255268389407045	20	18	0.829485137230295
Erc1	0.0826590953448687	0.00255268389407045	24	20	0.822778792102483
Cry1	0.0826590953448687	0.00255268389407045	24	18	0.737582682454366
Rnmt	0.0826590953448687	0.00255268389407045	24	0	0.730036075151263
Stat3	0.0826590953448687	0.00255268389407045	20	18	0.685115612770691
Rpsa	0.0826590953448687	0.00255268389407045	20	18	0.49349579084108
Tnnc2	0.0826590953448687	0.00255268389407045	22	19.0666666666667	0.487915104371077
Lasp1	0.0826590953448687	0.00255268389407045	20	0	0.476810160532537
Lama5	0.0826590953448687	0.00255268389407045	24	22	0.47194484017835
Cyp2d9	0.0826590953448687	0.00255268389407045	24	8	0.338284941455624
Qser1	0.0997176989742689	0.00371463344953366	20	18	1.65610300598793
Ncor1	0.0997176989742689	0.00371463344953366	20	18	1.45072096808899
Rnf111	0.0997176989742689	0.00371463344953366	20	18	1.42114475073159
Sox5	0.0997176989742689	0.00371463344953366	20	18	1.3659618509577
Brcc3	0.0997176989742689	0.00371463344953366	20	18	1.3341551720937
Tpm4	0.0997176989742689	0.00371463344953366	24	22	1.31075258303636
Cd79a	0.0997176989742689	0.00371463344953366	24	9	1.14994924054388
Nosip	0.0997176989742689	0.00371463344953366	20	18	1.13088227768381
Rdh12	0.0997176989742689	0.00371463344953366	20	6	1.1222543840117
Eif3l	0.0997176989742689	0.00371463344953366	20	18	1.09810156204362
Zcchc9	0.0997176989742689	0.00371463344953366	24	4	1.07375799127462
