"","Gene_names_unique","variance_ratio","p_val","q_value_BH"
"Plxna1","Plxna1",12.8991695196277,0.019,0.765108140947752
"Mmd","Mmd",2.05982917347453,0.034,0.765108140947752
"Marchf6","Marchf6",2.71888798777985,0.05,0.765108140947752
"Edem3","Edem3",1.91704111244072,0.042,0.765108140947752
"Vps41","Vps41",2.49090361280058,0.034,0.765108140947752
"Znf385a","Znf385a",13.9326773246963,0.001,0.578222222222222
"Foxj2","Foxj2",16.0587517660833,0.017,0.765108140947752
"Rhod","Rhod",10.2817246824396,0.003,0.743428571428571
"Atp6v1e1","Atp6v1e1",7.69030464796961,0.037,0.765108140947752
"Tex2","Tex2",35.3769524044849,0.014,0.765108140947752
"Xylb","Xylb",13.7679070730979,0.01,0.765108140947752
"Uaca","Uaca",7.97546673663156,0.006,0.765108140947752
"Csk","Csk",3.41736707554139,0.015,0.765108140947752
"Cry2","Cry2",10.5672764754717,0.001,0.578222222222222
"Pcna","Pcna",1.93992007744937,0.047,0.765108140947752
"Tbc1d2b","Tbc1d2b",13.0859700714172,0.023,0.765108140947752
"Creg1","Creg1",12.052987942648,0.037,0.765108140947752
"Ndufa1","Ndufa1",8.25599976877145,0.037,0.765108140947752
"Erbb3","Erbb3",3.5676617322198,0.039,0.765108140947752
"Unknown_30","Unknown_30",5.38872142371511,0.032,0.765108140947752
"Cebpe","Cebpe",28.6779691250216,0.002,0.612235294117647
"Parg","Parg",71.2469234204036,0.004,0.765108140947752
"Lgals3","Lgals3",28.7214088094347,0.046,0.765108140947752
"Nipsnap2","Nipsnap2",7.97434938226803,0.004,0.765108140947752
"Marveld1","Marveld1",5.27946498126129,0.047,0.765108140947752
"Myl4","Myl4",4.26750273612744,0.043,0.765108140947752
