BH.Q	ADJ.P	PER	LAG	AMP
Nup35	0.0280638580914936	0.000486119768420189	24	6	1.21248262807245
Rpl7	0.0280638580914936	0.000486119768420189	20	16	1.15018086253329
Mcm10	0.0280638580914936	0.000486119768420189	24	18	1.10853573519518
Hnf1a	0.0280638580914936	0.000486119768420189	20	16	1.08449368682673
Rpl30	0.0280638580914936	0.000486119768420189	20	16	1.07543663860136
Clock	0.0280638580914936	0.000486119768420189	24	9	0.987665632220928
Gcdh	0.0280638580914936	0.000486119768420189	24	2	0.929941533188451
F7	0.0280638580914936	0.000486119768420189	20	6	0.783244983323997
Npas2	0.0280638580914936	0.000486119768420189	20	8	0.782072208140709
Mecr	0.0280638580914936	0.000486119768420189	24	6	0.717664101103959
Adar	0.0280638580914936	0.000486119768420189	20	18	0.714126852102742
Spi1	0.0280638580914936	0.000486119768420189	20	16	0.670340252298454
Lasp1	0.0280638580914936	0.000486119768420189	24	22	0.623588214682649
Tle1	0.0280638580914936	0.000486119768420189	20	18	0.620697835620783
Spryd7	0.0280638580914936	0.000486119768420189	20	4	0.311596509338452
Tmem87a	0.0280638580914936	0.000486119768420189	20	12	0.300921813130967
Sqor	0.0359197948380444	0.000755028774330245	20	18	1.50361455010929
Tk1	0.0359197948380444	0.000755028774330245	20	18	1.49125746713276
Tbl3	0.0359197948380444	0.000755028774330245	20	16	1.38619446021208
Gck	0.0359197948380444	0.000755028774330245	20	18	1.29326211971539
Dcaf13	0.0359197948380444	0.000755028774330245	20	18	1.28960936835386
Rnmt	0.0359197948380444	0.000755028774330245	20	0	1.28828461775182
Rpl11	0.0359197948380444	0.000755028774330245	22	17.05	1.20076302096197
Rnf169	0.0359197948380444	0.000755028774330245	20	18	1.19835091400326
Ubr5	0.0359197948380444	0.000755028774330245	20	18	1.1647621689152
Nsmf	0.0359197948380444	0.000755028774330245	20	0	1.04668549082796
Nostrin	0.0359197948380444	0.000755028774330245	24	4	0.997682326983308
Unknown_1	0.0359197948380444	0.000755028774330245	20	18	0.985052054216453
Znf281	0.0359197948380444	0.000755028774330245	20	18	0.981030568197368
Sumo2	0.0359197948380444	0.000755028774330245	20	18	0.857022848833776
Phf2	0.0359197948380444	0.000755028774330245	24	10	0.78884276910892
Nr3c2	0.0359197948380444	0.000755028774330245	20	16	0.781549268935361
Hook3	0.0359197948380444	0.000755028774330245	24	20	0.534667199129518
Alg10b	0.0359197948380444	0.000755028774330245	24	8	0.473336377297604
Magi3	0.0359197948380444	0.000755028774330245	24	2	0.471874727135308
Dimt1	0.0451808497204911	0.00115194459193934	20	6	1.34839365011701
Zbtb1	0.0451808497204911	0.00115194459193934	20	18	1.24747094585998
Zfp120	0.0451808497204911	0.00115194459193934	20	18	1.22313397140665
Qrich1	0.0451808497204911	0.00115194459193934	20	18	1.21104159872383
Lrrc41	0.0451808497204911	0.00115194459193934	20	18	1.14662167264133
Etnppl	0.0451808497204911	0.00115194459193934	20	18	1.11297002751705
Rpl5	0.0451808497204911	0.00115194459193934	20	18	1.10465686442828
Cic	0.0451808497204911	0.00115194459193934	20	18	0.999989918117241
Dnaja2	0.0451808497204911	0.00115194459193934	20	18	0.955144935352838
Rab31	0.0451808497204911	0.00115194459193934	20	18	0.816248592914109
Bmal1	0.0451808497204911	0.00115194459193934	24	8	0.814379049820112
Bag6	0.0451808497204911	0.00115194459193934	24	20	0.802596023410517
Trim25	0.0451808497204911	0.00115194459193934	24	18	0.791439828483876
Gsta1	0.0451808497204911	0.00115194459193934	24	4	0.749780475447906
Klf15	0.0451808497204911	0.00115194459193934	20	16	0.748537893860814
Atn1	0.0451808497204911	0.00115194459193934	24	20	0.699767804894084
Hsf4	0.0451808497204911	0.00115194459193934	20	18	0.687554792032726
