"CT0_1"	"CT0_3"	"CT0_4"	"CT4_1"	"CT4_3"	"CT4_4"	"CT8_1"	"CT8_2"	"CT8_3"	"CT12_1"	"CT12_2"	"CT12_4"	"CT16_1"	"CT16_2"	"CT16_4"	"Perko_1"	"Perko_2"	"Perko_3"
"Ccar1"	6.99489323111598	5.51717723254253	5.20522256046578	6.53044977713749	5.60681800949406	6.07387685772386	7.60203773093388	4.97152492488488	5.17049667760184	6.1862738917705	5.41675223906157	5.8855606219583	5.14386340616614	5.42118842819094	5.48006518563218	5.56680735099661	5.56969988319913	6.47709444179702
"Nup133"	7.21518480678883	7.913462053486	7.26633249969752	7.68932327727839	7.7158591250506	7.49396596426245	7.12661367931777	7.71687421254343	7.74008381588306	7.46674454394346	7.74190898240701	7.48459354078078	7.64712956446629	7.59938449056736	7.59759565434226	7.37739892052303	7.36562421818931	6.76703502693032
"Sart1"	7.22780676721704	7.551318138698	5.82517836135755	7.40730229979747	7.05587186174433	6.10021082058883	7.14285719072463	6.27933067985903	6.91515930067757	7.13817202399347	7.47517008161032	6.43677730984775	6.8630769732053	6.72035671869114	6.17659908729342	6.39022957083626	6.62076160959082	6.04479837448006
"Flna"	1.64519351181687	0.337973527737329	4.81195877319792	2.4961669362986	1.62970502240327	1.14744929175278	2.20248488294635	0.560596830410852	1.93168609365232	0.949576142535722	-0.523677671480204	1.71493637475605	2.26987089695835	1.91753879038084	2.47220103226908	2.01060242863367	2.17381215361028	3.3503194537733
"Chd2"	4.71274483531204	4.33894169248519	3.77326526599968	4.52045899338152	4.46834740959837	4.17546259528842	4.98247403015014	4.82980217245475	4.10254551627045	4.30174839077205	4.36901089481898	3.99490167809362	3.99450996146492	4.22016799009255	3.84707612573066	3.83600900209547	4.29763746663989	4.05367717936159
"Nup188"	6.53436790036017	7.03453124963362	7.15561839293169	6.93492012726572	7.18957207554622	7.06943362678951	6.3596994633481	6.86969053835369	7.42175232080883	6.41530669399138	7.09886473503716	7.18262575922492	7.21605307471615	6.95022079112987	7.158368902211	7.07581366810166	6.79659995780938	5.1295521054802
"Mcm3ap"	5.9917504171965	6.46716801775424	5.9118190947104	6.19935552878465	6.28262659967552	6.39460754097813	5.9794482757296	6.44252361024774	6.47138510479203	5.91441960776634	6.30925617988084	6.22005599026352	6.24908981978384	6.20500770165345	6.18900900924708	6.0104012301276	5.97073190877046	4.35583649249376
"Sympk"	6.52444916836087	6.10306943719873	5.43510488888242	5.93786178640274	5.94048978609435	5.78528031882665	6.3250154349387	5.4222230398693	5.73745722076366	6.30621453294878	6.0509083478694	6.1152054823524	6.01022321719862	6.10857828531315	6.13227457793954	5.61061031463105	5.83287776788446	6.11949642809478
"Sun2"	6.25057557502167	7.06872519448382	6.97193750790056	6.71820976469014	6.8376671608969	6.4854762518208	6.24815190243688	7.33126972226466	7.10325416830162	6.68922782800847	6.89018666872718	7.00979994996523	6.91132852547377	6.79270234145931	6.90770114986266	6.91702744998051	6.4407780147494	5.58960202660252
"Thoc2"	6.54153629120633	5.79621847636486	5.53675441494508	6.53680402491793	6.06040523038463	6.149419039596	6.23852990186191	5.27476092378009	5.76924964519621	6.24242405393103	6.35415622358069	6.107108198487	5.95589579151767	6.1505025938561	6.17592314926484	5.49104230123092	5.69071182075791	5.91675326585491
